trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",30,0,-273.8012505667163,"{0: 17, 1: 3, 2: 2, 3: 3, 4: 5}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-78.00645823076786,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",25,20,7.521685192092574,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,8,-148.00954730336758,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 3}",1
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",20,0,-102.84218826263263,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",20,2,-97.240490403166,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-100.02183131475807,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,0,-97.10661888747039,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-204.31341168356437,"{0: 7, 1: 5, 2: 11, 3: 0, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-144.08856350010214,"{0: 8, 1: 6, 2: 4, 3: 0, 4: 2}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-47.86061986779569,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",25,0,-152.98759980032307,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-176.90347449781018,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
